State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured
Wyoming	2012	358028	199960	28610	3116	17027	73831
Puerto Rico	2012	2218215	652999	207886	55981	877990	222858
Mississippi	2013	1790746	849311	94017	34196	157828	442781
Missouri	2013	3666019	2114296	253805	57152	217192	670830
Montana	2013	616125	314173	59070	6477	31442	141402
Nebraska	2013	1125425	672291	108102	9363	44594	181380
Nevada	2013	1719885	921305	84137	19731	77036	463537
New Hampshire	2013	842880	553820	52249	10704	34816	129771
New Jersey	2013	5528837	3479409	290070	57211	354682	1028693
New Mexico	2013	1243353	540348	75190	20607	138699	334560
New York	2013	12439975	7094936	670615	125180	1760963	1871476
North Carolina	2013	6000202	3054558	473581	88262	403299	1356819
North Dakota	2013	451304	277360	47518	2894	15588	60388
Ohio	2013	7072114	4281117	387982	103438	661943	1107664
Oklahoma	2013	2295734	1167076	141263	42576	141968	567024
Oregon	2013	2440752	1312008	189870	26577	189285	518195
Pennsylvania	2013	7849516	4905243	537180	85479	623726	1063229
Rhode Island	2013	668448	394825	45398	7453	55848	108369
South Carolina	2013	2893842	1488260	157885	48012	212888	662340
South Dakota	2013	501769	275845	57161	4815	24721	79632
Tennessee	2013	3983560	2103337	266827	69522	341915	796666
Texas	2013	16065579	8048342	889396	170215	860253	4801933
Vermont	2013	397726	229664	25511	4265	60081	40764
Utah	2013	1701705	1043587	131363	12515	74943	315132
Virginia	2013	5112923	2942796	351277	71883	210217	877595
Washington	2013	4339199	2438505	319981	39784	260263	857900
West Virginia	2013	1132703	604382	40015	26462	106437	234112
Wisconsin	2013	3544103	2216422	233075	29142	319957	453981
Wyoming	2013	358526	216771	24884	2482	9975	68855
Puerto Rico	2013	2183218	637727	232358	63034	882595	197653
Alabama	2013	2945466	1538946	206022	63700	194642	593425
Alaska	2013	459776	240647	15534	2409	29233	109445
Arizona	2013	3900900	1927982	271609	45650	406884	917421
Arkansas	2013	1759900	861423	113111	44719	116578	424024
California	2013	23976518	12219933	1870418	204669	2401040	5743547
Colorado	2013	3304940	1821354	316251	27470	214139	622927
Delaware	2013	565138	337546	24387	8676	67060	72726
District of Columbia	2013	453153	259605	35423	2942	72015	39401
Connecticut	2013	2235695	1390606	150628	23431	229069	294202
Florida	2013	11646895	5388322	896595	165986	856740	3348787
Georgia	2013	6151890	3170278	377556	78527	346333	1592629
Idaho	2013	946943	488391	92552	9766	45797	217465
Hawaii	2013	822542	495825	49455	7205	74453	79261
Illinois	2013	8010771	4718571	521476	83637	695321	1470890
Indiana	2013	4008950	2361439	235721	55306	270904	768940
Iowa	2013	1868852	1181905	164530	13802	133310	216471
Kansas	2013	1730369	1026731	143589	17160	70386	302572
Kentucky	2013	2687179	1453331	145310	62002	199040	554504
Louisiana	2013	2825101	1411019	182468	44087	235413	682349
Maine	2013	825507	442336	44933	9126	102896	131236
Maryland	2013	3722201	2302902	228221	34108	278620	523097
Massachusetts	2013	4272843	2758710	293494	25169	623726	222069
Michigan	2013	6096761	3531044	387339	67029	606633	974008
Minnesota	2013	3357171	2160999	274990	24005	296194	364258
Alabama	2014	2935367	1566977	230176	60790	200928	532900
Alaska	2014	456278	226871	24808	1820	30596	99446
Arizona	2014	3944492	1975003	325299	51043	526114	728386
Arkansas	2014	1762235	890527	141773	40291	192970	307576
California	2014	24264509	12644131	2255073	216164	3348279	4193432
Colorado	2014	3356310	1892675	343154	28268	325825	465925
Delaware	2014	567790	345996	31277	9495	68261	59478
District of Columbia	2014	461152	257537	42985	2364	87233	30954
Connecticut	2014	2233736	1388088	184757	22101	288079	212229
Florida	2014	11813708	5575541	1288386	170323	948322	2812892
Georgia	2014	6200645	3316647	462743	92962	369755	1368178
Idaho	2014	950894	497632	117140	9836	46537	183445
Hawaii	2014	836069	510226	47483	7194	90383	60085
Illinois	2014	7998369	4776186	641071	89174	868857	1119046
Indiana	2014	4012497	2428693	278435	57033	282413	658877
Iowa	2014	1872141	1197738	186426	12290	156251	164460
Kansas	2014	1725164	1052497	157381	18808	73743	249966
Kentucky	2014	2684670	1458478	180855	65683	374167	320812
Louisiana	2014	2824652	1440203	223786	49059	238369	609860
Maine	2014	822829	453008	61837	9029	91100	116691
Maryland	2014	3737434	2286846	262859	36447	365252	410935
Massachusetts	2014	4303921	2737763	283650	26609	705242	193217
Michigan	2014	6087266	3571034	476417	72719	676834	748333
Minnesota	2014	3370012	2162501	305409	25622	365537	265377
Mississippi	2014	1782144	868327	134831	36577	161386	383375
Missouri	2014	3669439	2123815	325561	71616	214241	590745
Montana	2014	618551	314792	80853	8119	30352	124168
Nebraska	2014	1127803	680916	125476	8617	47047	153881
Nevada	2014	1747883	954835	115649	21582	142375	355882
New Hampshire	2014	843544	563374	64177	10107	37893	107927
New Jersey	2014	5551498	3535547	347898	57089	454391	856903
New Mexico	2014	1238526	555135	85440	18672	191473	255917
New York	2014	12485670	7111983	786434	126754	2005122	1531914
North Carolina	2014	6045208	3165904	595684	91005	412895	1148157
North Dakota	2014	458368	289353	52932	3302	24482	45025
Ohio	2014	7061137	4333942	426595	119830	830427	819273
Oklahoma	2014	2305044	1207547	187084	41868	142923	498386
Oregon	2014	2449627	1293542	209879	27845	358710	340874
Pennsylvania	2014	7833859	4895033	669064	92300	638651	915861
Rhode Island	2014	667555	388161	55475	8458	87852	69115
South Carolina	2014	2908636	1510273	210143	54019	224859	578165
South Dakota	2014	503162	289238	62881	4724	23633	69426
Tennessee	2014	4001037	2112695	334075	76973	378023	694875
Texas	2014	16366994	8536212	1218066	186073	911596	4204601
Vermont	2014	395850	228104	31170	4459	66980	27943
Utah	2014	1722815	1081490	160536	12503	68914	278747
Virginia	2014	5129648	3015141	424749	69180	214657	764219
Washington	2014	4382463	2512470	368067	46196	447605	560535
West Virginia	2014	1118678	596709	45112	26854	182005	144429
Wisconsin	2014	3540472	2258898	279276	33656	326060	357262
Wyoming	2014	359462	215860	32452	2399	14199	59981
Puerto Rico	2014	2138884	627901	200338	66612	891480	185898
Mississippi	2015	1773478	873978	147122	35631	170743	340728
Missouri	2015	3667679	2205535	343541	63305	219330	498533
Montana	2015	618119	324220	87018	7844	34670	100941
Nebraska	2015	1130499	703735	135475	9723	44510	127951
Nevada	2015	1770634	958922	144393	27317	195206	290465
New Hampshire	2015	840967	563254	66728	13641	56148	75596
New Jersey	2015	5553122	3531262	389919	58931	580781	679315
New Mexico	2015	1226223	539547	84894	18880	252315	198242
New York	2015	12481696	7111884	876393	122755	2178008	1253516
North Carolina	2015	6099130	3205510	693608	92082	451201	996399
North Dakota	2015	468080	287821	60149	3029	22989	43584
Ohio	2015	7045089	4312848	449934	115818	977407	622066
Oklahoma	2015	2313940	1236880	202718	46814	142719	458388
Oregon	2015	2481134	1326353	243675	28125	393228	246724
Pennsylvania	2015	7812487	4897047	719198	90831	787062	680862
Rhode Island	2015	667050	391854	56697	6168	98147	51477
South Carolina	2015	2938107	1580977	251958	49943	249327	475511
South Dakota	2015	504714	288133	62284	4814	23088	71572
Tennessee	2015	4017067	2167559	361742	79767	392963	600727
Texas	2015	16657157	8918734	1440845	200185	918517	3873285
Vermont	2015	393856	229413	32222	4711	68289	22406
Utah	2015	1757716	1115081	192389	11671	70081	242296
Virginia	2015	5133209	3020861	483691	68929	247081	644682
Washington	2015	4440161	2562936	409055	47355	536953	418445
West Virginia	2015	1109345	591777	59898	28519	214197	96912
Wisconsin	2015	3535927	2306460	303628	31426	340075	273369
Wyoming	2015	357200	214102	37219	2529	13913	55394
Puerto Rico	2015	2091503	629149	192039	69537	855944	172267
Alabama	2015	2931080	1588401	251217	68427	221829	448318
Alaska	2015	457079	230786	29699	1532	36934	85567
Arizona	2015	3992074	2023961	360611	52446	602255	581692
Arkansas	2015	1759383	885346	166277	43004	218125	239884
California	2015	24451851	12778221	2427618	227484	4334047	2952902
Colorado	2015	3416438	1933299	369598	29775	401818	375168
Delaware	2015	570682	346769	41570	8550	76185	46357
District of Columbia	2015	469590	272000	49774	2415	80853	22614
Connecticut	2015	2232650	1392377	196090	19773	300233	181812
Florida	2015	11988187	5732967	1657227	175258	1008569	2325241
Georgia	2015	6254418	3385116	583232	86993	382658	1210998
Idaho	2015	961905	509559	135762	8621	56152	155134
Hawaii	2015	831201	518317	51938	6261	91561	48071
Illinois	2015	7958577	4832760	711522	86531	1006754	810187
Indiana	2015	4015170	2467898	313840	62255	333518	517333
Iowa	2015	1876389	1195987	185019	14367	182110	128392
Kansas	2015	1724059	1054202	181785	18447	74104	222500
Kentucky	2015	2682955	1447315	179169	68442	475049	216282
Louisiana	2015	2820771	1478473	255088	51218	256405	503139
Maine	2015	816194	457758	80659	10989	80892	95706
Maryland	2015	3738785	2323287	298944	38874	397583	327978
Massachusetts	2015	4328437	2713315	313363	31787	733387	169825
Michigan	2015	6073123	3578699	481650	73789	859533	523682
Minnesota	2015	3376832	2159915	323327	28234	412439	203390
Mississippi	2016	1766560	901806	143900	35563	166642	312179
Missouri	2016	3653174	2211967	355810	74728	218096	466927
Montana	2016	620433	324131	81312	7235	61879	72426
Nebraska	2016	1131791	706612	132856	8555	44497	135759
Nevada	2016	1791813	975235	143454	20469	209760	277884
New Hampshire	2016	839099	552404	71248	13862	63132	70776
New Jersey	2016	5525116	3540830	413274	60251	566470	617691
New Mexico	2016	1220748	548478	86446	19242	269799	158900
New York	2016	12399261	7029603	953513	112287	2257340	1057074
North Carolina	2016	6138694	3290843	675566	99382	460457	929236
North Dakota	2016	463456	291730	55472	2994	27674	38237
Ohio	2016	7018306	4297627	469765	117470	1026345	541645
Oklahoma	2016	2316676	1224531	215347	49137	145473	456273
Oregon	2016	2509060	1385777	243183	25821	395226	218953
Pennsylvania	2016	7772430	4792755	712737	101088	917377	582107
Rhode Island	2016	665476	387373	66365	9781	91829	40640
South Carolina	2016	2951505	1575547	282845	53356	249659	439521
South Dakota	2016	504919	291530	59752	4582	24796	64445
Tennessee	2016	4029585	2191680	363842	69482	438364	534785
Texas	2016	16843883	9061923	1526130	186726	922702	3816473
Vermont	2016	389462	221536	35361	3496	68942	20983
Utah	2016	1789836	1163914	195966	11888	80211	208853
Virginia	2016	5134008	3027131	491859	66409	243505	615990
Washington	2016	4497648	2639732	387035	44321	570332	380054
West Virginia	2016	1091444	568314	54196	24949	221680	87568
Wisconsin	2016	3522518	2294678	310148	31706	336080	252268
Wyoming	2016	350428	208666	34619	3138	14863	53672
Puerto Rico	2016	2049055	617313	200148	61185	829354	183764
Alabama	2016	2921503	1606132	267663	64794	210688	404855
Alaska	2016	457184	237462	25621	2343	42176	81387
Arizona	2016	4036165	2077734	361619	49321	647091	554091
Arkansas	2016	1757516	901078	165878	40440	246660	204066
California	2016	24431848	12951851	2409125	230964	4529147	2521235
Colorado	2016	3461702	1984229	354955	33270	420114	353834
Delaware	2016	571596	349334	42203	9011	78333	45282
District of Columbia	2016	473878	272379	46470	2433	90598	22012
Connecticut	2016	2217434	1391256	195772	22122	312147	148754
Florida	2016	12137388	5885881	1688597	185504	1037770	2234427
Georgia	2016	6284159	3421761	606378	88590	384633	1134011
Idaho	2016	974803	531287	132530	9486	54716	145700
Hawaii	2016	832435	518667	55268	6508	96339	40950
Illinois	2016	7892615	4832555	706700	83264	1005611	729815
Indiana	2016	4003711	2467830	315919	64521	387034	432020
Iowa	2016	1875205	1201461	178496	13122	197428	112350
Kansas	2016	1718393	1046913	180245	21114	76240	215770
Kentucky	2016	2679027	1458130	178732	62889	495818	189249
Louisiana	2016	2807699	1435742	259789	54487	345175	433797
Maine	2016	812942	462152	81088	9828	77388	94113
Maryland	2016	3721766	2312199	306286	38470	399053	310249
Massachusetts	2016	4324702	2717779	330604	26038	722441	154861
Michigan	2016	6059622	3577857	497331	75336	905329	459651
Minnesota	2016	3375664	2180323	311557	31692	414553	180240
Mississippi	2017	1705865	869484	136339	31861	142797	312984
Missouri	2017	3561566	2168093	315799	70523	212685	469272
Montana	2017	610502	322373	75447	6356	71006	72773
Nebraska	2017	1109152	704285	118254	9961	44490	129209
Nevada	2017	1788916	1012006	126079	24223	207873	269150
New Hampshire	2017	821660	551823	63415	13253	61319	69718
New Jersey	2017	5431362	3500475	402761	65171	541496	595436
New Mexico	2017	1186640	519838	79330	22053	267680	156958
New York	2017	12138390	6967505	922025	111793	2205236	973576
North Carolina	2017	6030609	3312056	594817	94860	434341	950074
North Dakota	2017	447988	285275	52775	3082	24446	41473
Ohio	2017	6855594	4206315	437031	115179	990687	551771
Oklahoma	2017	2248268	1205788	182645	45291	126677	459030
Oregon	2017	2477138	1372027	233604	27178	375378	245261
Pennsylvania	2017	7570498	4752790	606679	132486	895028	557577
Rhode Island	2017	650045	383148	57178	6919	103241	43023
South Carolina	2017	2910554	1561491	248966	57915	237894	478090
South Dakota	2017	491664	295325	55542	5076	22409	63015
Tennessee	2017	3970871	2216826	315994	69431	390837	554489
Texas	2017	16685368	9054247	1307581	189615	857236	3919977
Vermont	2017	376724	209390	32209	5022	66885	25640
Utah	2017	1773582	1155274	201533	13077	70935	207440
Virginia	2017	5029841	3002022	457411	68724	230583	616098
Washington	2017	4461995	2651429	361258	43710	563032	392436
West Virginia	2017	1045864	552237	52362	26241	203663	97825
Wisconsin	2017	3434358	2277890	275942	31458	313205	253109
Wyoming	2017	334831	194847	30974	3648	16256	55589
Puerto Rico	2017	1951365	549427	207897	67673	767301	197676
Alabama	2017	2841107	1560958	232800	65309	208743	409792
Alaska	2017	440283	211239	21612	2654	56350	78092
Arizona	2017	3989659	2118735	311379	51031	595829	552075
Arkansas	2017	1717192	873159	151195	40648	239496	197155
California	2017	24069284	13033901	2324634	235939	4350739	2438383
Colorado	2017	3421064	1968563	336125	29423	415433	350903
Delaware	2017	559655	356274	37356	7945	61209	41996
District of Columbia	2017	468689	268485	44578	3546	77814	23946
Connecticut	2017	2164155	1347265	181849	21910	297239	165397
Florida	2017	12081518	5954573	1613271	179089	919725	2301959
Georgia	2017	6198581	3446687	546179	86292	345615	1165279
Idaho	2017	964996	537925	114461	8579	54562	149739
Hawaii	2017	802826	498969	51823	4590	89191	44503
Illinois	2017	7669234	4741334	629249	90975	957705	751802
Indiana	2017	3910354	2441346	278295	57472	380237	424934
Iowa	2017	1825767	1191259	163074	13329	180453	120075
Kansas	2017	1671821	1041967	150802	19152	72044	208627
Kentucky	2017	2607164	1431970	161676	60688	479985	192671
Louisiana	2017	2729961	1387475	215347	46934	445036	343373
Maine	2017	790011	452782	75809	9109	65702	93127
Maryland	2017	3659877	2312288	270517	37991	400427	303845
Massachusetts	2017	4235243	2680207	326278	27393	694668	163857
Michigan	2017	5913860	3588070	437652	69029	863426	433147
Minnesota	2017	3317065	2196551	242850	31456	401675	192986
Wisconsin	2018	3429012	2279871	270313	34200	311257	259429
Wyoming	2018	330764	203139	29655	3464	12579	49028
Puerto Rico	2018	1877148	551892	187439	60536	748533	179526
Mississippi	2018	1702571	897335	118140	34612	138984	317522
Missouri	2018	3563548	2196830	283842	67808	212330	478561
Montana	2018	607555	320281	67041	7508	73885	70329
Nebraska	2018	1106720	697178	107393	9610	49053	130456
Nevada	2018	1805979	1011035	129176	22505	202184	272178
New Hampshire	2018	822707	553486	56782	15093	64943	68927
New Jersey	2018	5344092	3504133	377949	57896	526938	561302
New Mexico	2018	1186832	524482	69173	18081	263219	166014
New York	2018	11879398	6853153	884525	110008	2110845	910537
North Carolina	2018	6088356	3401557	549744	95175	418276	952993
North Dakota	2018	447813	282173	49603	3819	25774	42314
Ohio	2018	6840199	4206209	415851	104950	959890	602244
Oklahoma	2018	2249488	1204239	178785	43523	133328	460776
Oregon	2018	2498361	1411742	219168	27348	355102	256028
Pennsylvania	2018	7529481	4740770	571123	87113	914950	567311
Rhode Island	2018	646561	395821	46941	6313	99523	37030
South Carolina	2018	2931158	1593637	247005	53362	237958	464442
South Dakota	2018	499538	290753	55685	5862	22137	70847
Tennessee	2018	3992463	2208082	306592	73904	381393	587202
Texas	2018	16903213	9130816	1312365	178035	856686	4062007
Vermont	2018	374662	226044	31380	4546	57624	21885
Utah	2018	1805828	1169507	198686	12059	74082	219616
Virginia	2018	5016132	3024936	416069	75487	242703	615925
Washington	2018	4528688	2735572	330721	42228	549837	423560
West Virginia	2018	1036946	559629	47752	30698	186639	99570
Alabama	2018	2835053	1578082	212067	60739	198032	438189
Alaska	2018	434047	211731	19505	2575	58905	71317
Arizona	2018	4071893	2159766	288110	49408	594583	594104
Arkansas	2018	1722857	888711	135234	42023	248689	207235
California	2018	23975809	13027417	2264296	206739	4283462	2468117
Colorado	2018	3465417	2045066	315072	29291	399303	352842
Delaware	2018	560194	335968	35720	9057	78483	45257
District of Columbia	2018	471920	285056	45561	2698	82266	19009
Connecticut	2018	2142660	1342776	165979	23177	299964	162746
Florida	2018	12216233	6072856	1621104	179324	899060	2338615
Georgia	2018	6238581	3513076	476407	85749	346538	1181480
Idaho	2018	987771	547149	116729	9953	46371	163093
Hawaii	2018	792376	487406	48526	6115	86083	46448
Illinois	2018	7610628	4790594	577779	81978	905121	754754
Indiana	2018	3916240	2455494	255141	56632	380091	429704
Iowa	2018	1816562	1176021	138234	12384	194024	124812
Kansas	2018	1664412	1039817	135757	19481	77340	210169
Kentucky	2018	2612594	1441709	145830	60130	474902	205249
Louisiana	2018	2696699	1357481	192566	52520	478090	319734
Maine	2018	791558	457750	74867	9272	67096	91304
Maryland	2018	3614811	2262735	258532	37666	399065	301999
Massachusetts	2018	4256789	2689083	337243	22943	672266	167178
Michigan	2018	5912762	3562200	425710	74694	867414	451451
Minnesota	2018	3319098	2207014	249736	28132	394588	196375
Mississippi	2019	1686473	872406	118574	33469	147625	329643
Missouri	2019	3551930	2202357	265889	61732	206521	503814
Montana	2019	608703	314844	69879	8293	74591	71605
Nebraska	2019	1101127	704156	102918	9000	46192	129061
Nevada	2019	1824973	1035348	126498	24202	197346	283393
New Hampshire	2019	821002	547709	64986	15006	63075	73378
New Jersey	2019	5298118	3447761	371853	65363	521176	589142
New Mexico	2019	1184202	518338	66773	18394	269365	173007
New York	2019	11747956	6894985	880931	111819	2053542	880352
North Carolina	2019	6114454	3404390	557599	89867	420715	1003728
North Dakota	2019	443254	279197	50379	2321	28669	36227
Ohio	2019	6805339	4239774	386085	106224	917662	617231
Oklahoma	2019	2250687	1219942	170321	45561	124015	462236
Oregon	2019	2503675	1465918	194992	27937	346294	257084
Pennsylvania	2019	7480670	4721968	547767	95205	891063	587744
Rhode Island	2019	642936	397615	54402	7656	82137	37674
South Carolina	2019	2949479	1630083	241006	52820	228336	474507
South Dakota	2019	493709	293424	51670	5951	20780	70308
Tennessee	2019	4007815	2253726	311060	62819	381337	595524
Texas	2019	17052965	9364858	1244059	199125	788799	4173748
Vermont	2019	371655	218247	32117	5921	55735	24953
Utah	2019	1834209	1212222	188980	9241	73326	221826
Virginia	2019	4996695	3040046	342624	71539	345560	549752
Washington	2019	4552682	2820118	306227	44932	524702	433219
West Virginia	2019	1022840	551437	37373	22081	188678	102616
Wisconsin	2019	3413423	2279323	250974	28552	309391	274836
Wyoming	2019	329365	194796	31439	2982	16389	54698
Puerto Rico	2019	1873470	542014	194414	65384	711876	215622
Illinois	2019	7525174	4792134	524978	97409	850602	786561
Georgia	2019	6265771	3561541	461382	87012	350219	1186256
Idaho	2019	1006189	568304	115931	10092	48815	166451
Hawaii	2019	778070	487454	43124	6312	85195	46112
Indiana	2019	3920002	2461568	242125	56600	397065	454749
Iowa	2019	1815087	1186342	120966	15133	198175	131744
Kansas	2019	1652156	1048902	130909	16319	74379	216631
Kentucky	2019	2594796	1436710	138918	69967	443964	235356
Louisiana	2019	2668199	1327009	180923	52657	494088	349203
Maine	2019	788302	453327	67890	11153	74948	91594
Maryland	2019	3597998	2263340	251837	40765	393079	299865
Massachusetts	2019	4238020	2727248	326008	25930	622046	177270
Michigan	2019	5869012	3534460	418242	75194	826611	488009
Minnesota	2019	3310523	2234290	222725	28622	369711	227567
Connecticut	2019	2132251	1313653	147347	20646	319153	176514
Florida	2019	12249102	6135284	1604542	189681	831306	2391683
Alabama	2019	2833283	1597627	213447	62898	192895	424986
Alaska	2019	426835	219319	19205	3447	54968	67583
Arizona	2019	4126688	2229418	278507	50971	562862	637088
Arkansas	2019	1714037	882873	129982	41176	251470	224799
California	2019	23853893	13216474	2094480	200453	4055354	2611825
Colorado	2019	3503859	2118218	313232	28424	357413	375952
Delaware	2019	555236	335398	32433	6235	66802	51796
District of Columbia	2019	473010	297770	37930	2034	73956	21000
